item_no,colour,gender_description,brand,product_group,min_age,max_age
-8532651865699676332,green,unisex,kids concept,lighting,,
-3940018324757571074,green,girls,jacadi,tops,2.0,12.0
-8214360396884711196,blue,boys,petit bateau,tops,0.375,3.0
-4258486136181648229,yellow,unisex,reima,coveralls,0.625,3.0
4744815013398837826,white,unisex,beau loves,tops,1.0,14.0
6032814604416534823,blue,girls,mayoral,bottoms,1.0,9.0
6627747214710736387,black,girls,molo,bottoms,0.125,3.0
-5214631205435946268,white,girls,absorba,all in ones,0.125,2.0
7937541158224798490,navy,girls,pom dapi,boots,2.0,7.0
-7808757029704241750,pink,unisex,kids concept,role play,,
-7209683196775738835,grey,unisex,babyzen,strollers,,
-5711637676199041238,red,unisex,big,bicycles and other vehicles,1.0,10.0
7558642982639928815,orange,unisex,reima,headwear,0.375,14.0
3764574796440053139,orange,unisex,rice a/s,tableware,,
-7580963975736227947,black,boys,calvin klein,underwear,7.0,14.0
-6675237567378759586,grey,girls,il gufo,dresses,0.125,3.0
3387337770681619452,green,unisex,liewood,baby feeding,,
-2873872401481582349,pink,girls,bonpoint,tops,0.875,3.0
-4984048387176562275,brown,unisex,perfect petzzz,soft toys,2.0,10.0
-4723193078662512653,grey,unisex,hummel,sandals,3.0,12.0
-8582091518847396885,black,unisex,marques almeida,jumpers and knitwear,1.0,10.0
8818849660263868416,blue,unisex,reima,sandals,1.0,12.0
6394885448280213888,grey,boys,adidas,jumpers and knitwear,6.0,14.0
8681889839829109106,blue,unisex,liewood,bedding,,
4055389989603285829,yellow,unisex,fub,shorts,1.0,9.0
755599379536203026,grey,unisex,stokke,textile,,
-8024475104888879090,green,unisex,design letters,tableware,,
-4943561495556996725,white,boys,tartine et chocolat,tops,4.0,10.0
3622632420215239652,purple,unisex,oii,tops,1.0,12.0
-2643878438442112781,pink,girls,dolly by le petit tom,dresses,0.125,8.0
5469879613538696029,white,unisex,aden + anais,all in ones,,
7159893009533512149,blue,unisex,done by deer,first toys and baby toys,,
-1448511977389349014,pink,unisex,kuling,baselayers,0.125,4.0
-6579526763360473653,blue,unisex,pepe jeans,tops,3.0,14.0
1126578973812681824,white,girls,petit bateau,underwear,1.0,12.0
921521819334525743,blue,unisex,reima,bottoms,0.875,5.0
-6949271321218456210,grey,unisex,the animals observatory,jumpers and knitwear,0.375,2.0
4299529627054249398,pink,unisex,design letters,calendars,,
-4102079660343946404,black,unisex,najell,stroller accessories,,
7597530636333075647,blue,unisex,le toy van,vehicles,2.0,6.0
4363900721067056792,navy,boys,ralph lauren,tops,1.0,14.0
-1097716285740600507,pink,girls,reebok,trainers,0.375,1.0
-4048781747059873671,white,unisex,nike,underwear,,
4925634290657425375,yellow,unisex,bobo choses,swimwear and coverups,1.0,9.0
45178507835976901,blue,girls,joules,bottoms,0.125,2.0
-6415665654046398210,grey,boys,fendi,tops,5.0,14.0
1314855264961112424,pink,girls,molo,swimwear and coverups,2.0,14.0
-2911348780066887361,green,unisex,kuling,scarves,,
-6365959256493478161,blue,girls,jacadi,jumpers and knitwear,2.0,14.0
-1134186090335264839,pink,girls,joha,all in ones,0.125,4.0
-3924924838157490041,pink,girls,piupiuchick,skirts,2.0,10.0
734946235239345948,red,boys,ebbe kids,jumpers and knitwear,3.0,12.0
2979927113246109929,navy,boys,camper,sandals,3.0,10.0
4212582999259938020,beige,boys,retour,bottoms,5.0,14.0
-6625115358543065405,pink,unisex,kuling,boots,0.125,2.0
3286769395608442330,black,unisex,cybex,carriers and slings,,
-1083927450426326446,green,boys,jacadi,tops,2.0,12.0
3686815569879403118,white,girls,cyrillus,tops,0.375,3.0
-6933057483972741665,black,unisex,izipizi,eyewear,,
7525216415241208347,beige,unisex,hust&claire,all in ones,0.125,0.625
-4144660318548404939,silver,girls,mimi & lula,hair accessories,,
-4720183759273687816,pink,girls,carrément beau,dresses,2.0,14.0
-8848888717178229269,yellow,girls,petit bateau,all in ones,0.375,3.0
-1312602422597691027,grey,unisex,bugaboo,strollers,,
3317671155910714621,pink,unisex,twistshake,tableware,,
30995818538412656,orange,girls,búho,dresses,2.0,14.0
6180313676222619211,red,unisex,stabilo,stationary,0.875,4.0
430441563691647107,blue,unisex,ergobaby,bedding,0.375,4.0
3047567544830770693,black,unisex,reima,coats and jackets,1.0,10.0
5324257959607265145,pink,unisex,kenzo,changing and travel bags,,
-8663817602869970055,pink,girls,aden + anais,textile,,
1080438442325945918,unknown,unisex,bugaboo,strollers,,
7699383915940840919,yellow,unisex,plus-plus,building blocks and constructi,1.0,6.0
788850548088108670,cream,girls,ia bon,swimwear and coverups,2.0,10.0
5085869817826466404,navy,boys,boss,headwear,0.375,5.0
5167279899954088980,blue,unisex,oii,bags,,
-3917488949514178258,black,girls,pom dapi,shoes,0.625,3.0
-9051508963838455438,black,girls,guess,dresses,6.0,14.0
25143963491238177,red,girls,dolly by le petit tom,skirts,0.125,8.0
-7417636775550842965,blue,girls,jacadi,jumpers and knitwear,2.0,12.0
5045759094020624333,blue,unisex,the animals observatory,shorts,1.0,14.0
424915537408375881,white,girls,mayoral,tops,7.0,14.0
-8416733714061795774,grey,unisex,msgm,jumpers and knitwear,3.0,14.0
-7562576309566741292,green,unisex,done by deer,tableware,,
-340417198240044063,grey,unisex,carena,furniture,,
1971368749406506956,green,unisex,kuling,fleeces and midlayers,0.125,3.0
-3990548404318552137,navy,girls,mayoral,clothing sets,0.125,2.0
6599454093241528686,black,girls,msgm,tops,3.0,14.0
-8092880145818500388,navy,boys,emporio armani,tops,3.0,14.0
-4750503685225050128,grey,boys,timberland,bottoms,1.0,14.0
-1968886416404752574,navy,boys,barts,headwear,,
-7140277395925839870,black,girls,lelli kelly,shoes,2.0,10.0
4581828439112864137,black,girls,converse,clothing sets,0.875,7.0
-7135323788668210793,pink,girls,agatha ruiz de la prada,dresses,0.625,8.0
-4097399151121033062,grey,girls,molo,jumpers and knitwear,1.0,12.0
-1604444641326406393,green,unisex,ebbe kids,fleeces and midlayers,1.0,12.0
-304315996588327174,grey,unisex,mainio,jumpers and knitwear,2.0,12.0
1089912689051198944,yellow,girls,soft gallery,all in ones,0.125,2.0
1343543758017977737,black,girls,bonpoint,shoes,2.0,11.0
3100618183932682520,grey,unisex,britax,car seats,,
606932506591004161,pink,girls,carrément beau,jumpers and knitwear,1.0,12.0
3345426344731683154,blue,unisex,tartine et chocolat,jumpers and knitwear,0.375,3.0
6137060470387898805,blue,girls,molo,bottoms,4.0,14.0
-1700960192192062196,blue,unisex,babybjörn,carriers and slings,,
5573914451942642264,beige,girls,burberry,tops,3.0,14.0
-6998634478378422583,red,unisex,moschino kid-teen,jumpers and knitwear,5.0,14.0
8919975234234502263,beige,unisex,micki,role play,2.0,6.0
-2643425145784232172,orange,boys,dinosea,swimwear and coverups,,
7618683475713136655,pink,boys,poivre blanc,headwear,,
-586097424759616960,black,unisex,stella mccartney kids,coats and jackets,1.0,14.0
6285970820729412744,brown,unisex,babyzen,stroller accessories,,
5667780146937721854,pink,unisex,apple park,first toys and baby toys,0.125,2.0
3885259147598257494,white,girls,bonpoint,all in ones,0.125,0.875
795513862043378232,blue,boys,stella mccartney kids,bottoms,2.0,14.0
-8824118357472426200,grey,unisex,jox,storage,,
6751349988453238229,black,unisex,reima,coats and jackets,3.0,14.0
5018944805925352373,blue,girls,ralph lauren,dresses,0.125,2.0
-4746231136183188514,blue,girls,tartine et chocolat,dresses,2.0,14.0
842146983423487104,navy,unisex,the animals observatory,all in ones,0.375,2.0
4829460603528407199,red,unisex,tommy hilfiger,boots,2.0,6.0
-4264090423393112130,blue,unisex,cam cam,textile,,
-6332111096558944813,unknown,girls,ikks,scarves,1.0,14.0
6696113694615812896,grey,girls,donsje amsterdam,jumpers and knitwear,0.875,7.0
-5187447365800097748,beige,boys,jacadi,bottoms,2.0,12.0
-3946170721160146520,unknown,girls,ikks,coats and jackets,2.0,14.0
4529255239692594830,pink,unisex,le toy van,role play,2.0,8.0
1085669016555355086,white,unisex,stella mccartney kids,shorts,0.375,2.0
7987532379137938492,pink,girls,viking,boots,0.875,8.0
-5505847365567078915,yellow,unisex,gullkorn design,headwear,0.625,10.0
-6947237693903482140,brown,girls,monnalisa,coats and jackets,3.0,14.0
6472577343842173800,pink,girls,ralph lauren,swimwear and coverups,1.0,12.0
6807471466465408334,gold,unisex,design letters,jewellery and watches,,
-8500700702596397421,blue,boys,mini rodini,shorts,0.875,11.0
3818109089948861896,blue,boys,boss,coats and jackets,3.0,14.0
-2646811541439146749,black,girls,molo,underwear,2.0,14.0
106755963734657690,red,unisex,búho,all in ones,0.125,2.0
2631758469757524592,grey,boys,gant,jumpers and knitwear,2.0,6.0
4805394106422769879,pink,unisex,lorena canals,textile,,
-3182870978661974227,navy,boys,ralph lauren,shorts,0.375,2.0
-740807060993215477,blue,boys,dolce & gabbana,underwear,2.0,10.0
4614601083628368597,black,boys,nike,trainers,3.0,8.0
-2334942529563922271,pink,girls,reima,boots,4.0,12.0
711140974543020620,navy,boys,mayoral,underwear,1.0,14.0
-3486158173651360704,blue,unisex,the animals observatory,all in ones,1.0,14.0
-3738523175859058320,red,boys,garcia,coats and jackets,1.0,9.0
7407460763984194396,white,girls,papu,dresses,1.0,8.0
6860531448354004513,blue,unisex,liewood,tableware,,
699085927909532610,green,boys,molo,jumpers and knitwear,4.0,14.0
2810036100255870846,navy,girls,boob,maternity dresses,-1.0,-1.0
6589509379090256683,cream,unisex,nununu,jumpers and knitwear,1.0,11.0
-4141498349882036101,blue,girls,bonpoint,jumpers and knitwear,3.0,12.0
-8785336099164766439,beige,unisex,flöss,bottoms,0.125,2.0
-4991044832725001950,navy,boys,jacadi,bottoms,2.0,10.0
7112340117350648240,blue,girls,lindberg,swimwear and coverups,0.625,8.0
3536908541368948553,pink,unisex,done by deer,tableware,,
-4001225238959306138,blue,unisex,bestway,water toys,2.0,8.0
5498937082957180523,blue,unisex,baby einstein,first toys and baby toys,0.375,4.0
-1107997650012822374,black,unisex,dsquared2,jumpers and knitwear,3.0,14.0
1044051729391893389,blue,boys,ralph lauren,bottoms,1.0,8.0
-908717524488262462,white,boys,champion,clothing sets,2.0,14.0
4081174434637743386,green,unisex,littlephant,furniture,,
5309693636932379778,red,girls,jacadi,tops,2.0,12.0
-1360720107911464829,navy,unisex,aigle,boots,2.0,12.0
408162702741510798,white,unisex,adidas,trainers,,
-1998794879574507019,red,unisex,bobo choses,bags,,
1861938475591470071,blue,girls,molo,swimwear and coverups,0.625,3.0
-2290055329520507826,red,unisex,a happy brand,jumpers and knitwear,1.0,10.0
-5095777655721162918,navy,boys,timberland,coats and jackets,0.375,4.0
5041581588849896739,grey,unisex,coolcasc,ski and snowboard equipment,,
-4580992574446794466,blue,unisex,herschel,bags,,
-3724884250642912311,pink,girls,melton,slippers,0.125,3.0
-9005524659488557733,navy,boys,mini rodini,swimwear and coverups,0.125,7.0
-349562890477185681,green,girls,melton,underwear,0.375,6.0
-773820639448871854,gold,unisex,twistshake,baby feeding,,
1687245062837947913,white,unisex,bestway,water toys,6.0,10.0
-4106459231794021597,black,boys,levis kids,tops,3.0,14.0
4062222099473550469,grey,girls,the marc jacobs,jumpers and knitwear,3.0,14.0
4590919337963564668,blue,unisex,ferm living,lighting,,
-150665451084621045,blue,girls,zimmermann,swimwear and coverups,0.875,10.0
-2121879448589063160,black,unisex,my little cozmo,bottoms,0.375,2.0
8552330946061141632,cream,unisex,thermobaby,baby bathing,,
4609592909672622735,pink,girls,kenzo,coats and jackets,1.0,14.0
6102170614316561094,pink,unisex,lundby,dolls and doll houses,2.0,10.0
-6389421646454813046,beige,girls,designers' remix girls,shorts,7.0,14.0
-2436375279498758727,white,boys,paul smith junior,tops,1.0,12.0
3351537592915895000,brown,boys,pom dapi,boots,4.0,12.0
6752007735718016188,pink,girls,wolf & rita,tops,1.0,10.0
3131839831451846467,black,girls,tocoto vintage,dresses,1.0,10.0
-8305699368442791460,blue,unisex,hust&claire,all in ones,0.125,3.0
856612924674256600,blue,boys,enfant,all in ones,0.125,0.875
-4293096265498115911,red,boys,burberry,jumpers and knitwear,3.0,14.0
5575715213215736466,brown,unisex,mini rodini,headwear,0.125,0.375
8007844264703810099,pink,girls,minymo,dresses,1.0,8.0
-5306346063501586740,blue,boys,viking,boots,0.875,8.0
2741694180892716938,pink,girls,bonpoint,scarves,,
7860378705079331474,red,unisex,liewood,tableware,,
-7468342422340249339,pink,unisex,babblarna,reading,1.0,4.0
1424397603475593567,navy,unisex,perfect moment,baselayers,5.0,14.0
-303552675607957385,pink,unisex,reima,headwear,0.125,0.125
-2924999283714070959,beige,unisex,sylvanian families,dolls and doll houses,2.0,10.0
4504977584673201051,black,unisex,joolz,stroller accessories,,
-3702329125775352496,pink,girls,jacadi,headwear,0.125,0.625
5812940398329801834,grey,girls,molo,dresses,1.0,14.0
6078967477830598390,black,girls,ikks,dresses,2.0,14.0
1462785017599197663,pink,girls,molo,all in ones,0.125,2.0
-8207851652878355817,blue,girls,jacadi,tops,2.0,12.0
2389771752987482662,green,unisex,tiny love,first toys and baby toys,,
6869267735618642047,yellow,unisex,liewood,headwear,0.625,4.0
3990685793567905524,pink,unisex,done by deer,first toys and baby toys,,
4430711929681339910,cream,unisex,marmar copenhagen,bottoms,0.125,0.375
4619765490322112298,beige,girls,bonpoint,jumpers and knitwear,3.0,14.0
1033094190494540346,brown,girls,carrément beau,jumpers and knitwear,0.375,3.0
488723849240927432,white,girls,jacadi,all in ones,0.375,3.0
5877196022523750083,blue,unisex,frugi,tops,0.125,5.0
8852179391415214901,white,girls,mimi & lula,hair accessories,,
6773214851114846276,unknown,unisex,bajo,ride ons and walkers,,
813392861078198214,beige,boys,wheat,underwear,1.0,8.0
-4493577647071445768,green,unisex,tretorn,coveralls,1.0,8.0
-2435288203251165589,pink,girls,nike,jumpers and knitwear,1.0,7.0
7292353940126538153,pink,unisex,best time toys,ride ons and walkers,0.625,4.0
-9051956395331224010,green,unisex,boss,bags,,
5219918600174241862,pink,unisex,liewood,lunch boxes and containers,,
-2636060757655724121,green,unisex,liewood,water toys,1.0,4.0
1356807958498714660,pink,girls,celavi,bottoms,0.125,4.0
-2809706934813660157,orange,unisex,djeco,first toys and baby toys,1.0,4.0
2912455657159691865,navy,girls,bonpoint,shoes,2.0,11.0
98457692282106736,multi color,unisex,babblarna,reading,0.125,4.0
348709931796376683,navy,boys,hatley,umbrellas,,
-2945208545659897144,blue,unisex,everyday baby,baby feeding,,
8451006202548176713,blue,unisex,bergans,coats and jackets,0.875,8.0
-4503961875471260676,pink,girls,colmar,gloves and mittens,7.0,14.0
-5746454493420653692,black,girls,puma,trainers,4.0,14.0
-5679310149222723371,grey,girls,wheat,bottoms,2.0,8.0
-6990630456318014787,orange,unisex,wood little,vehicles,,
1362476088718531696,black,unisex,melton,underwear,0.375,14.0
-3738121884219968487,green,unisex,little jalo,gloves and mittens,0.125,0.875
2552655393817204386,red,girls,tommy hilfiger,bottoms,14.0,14.0
1197595054449495515,white,girls,carrément beau,tops,1.0,12.0
8497247109968799691,blue,unisex,mini rodini,tops,0.875,11.0
-5786887451245428560,blue,boys,mini a ture,coats and jackets,3.0,10.0
-4458656884449626677,pink,girls,bonpoint,jumpers and knitwear,3.0,12.0
-2038113731601325910,unknown,unisex,bjällra of sweden,changing and travel bags,,
2627830572320744945,black,boys,dkny,jumpers and knitwear,3.0,14.0
9055479824386959999,green,unisex,design letters,tableware,,
9142167876713175385,blue,unisex,jox,lighting,,
-3496711043061764439,red,unisex,babblarna,costumes,2.0,10.0
-3051011823226830329,grey,boys,pepe jeans,jumpers and knitwear,5.0,14.0
6307709980343909491,pink,girls,kuling,boots,0.125,2.0
-9035504414035378496,pink,girls,marmar copenhagen,all in ones,0.125,2.0
567997281736287608,multi color,unisex,redbox,first toys and baby toys,1.0,2.0
1495752215359446477,blue,unisex,msgm,tops,5.0,14.0
1441762105545410904,beige,unisex,fub,headwear,0.875,6.0
4506074996515984418,yellow,unisex,aigle,boots,0.625,3.0
-2123773814136292879,yellow,unisex,boss,tops,3.0,14.0
-4448464406809391381,navy,girls,ralph lauren,jumpers and knitwear,0.625,2.0
-4284572621639750455,beige,unisex,wheat,fleeces and midlayers,0.125,2.0
-3526552733980968818,navy,boys,wheat,all in ones,0.875,6.0
1005826779561281891,pink,girls,isbjörn of sweden,coats and jackets,1.0,8.0
-9193702243973884044,pink,unisex,stoy,bicycles and other vehicles,4.0,6.0
-3271723153065749421,yellow,boys,calvin klein jeans,tops,3.0,14.0
-5316183718200836137,blue,girls,stella mccartney kids,dresses,0.125,3.0
-6739701830638654084,green,girls,lindberg,swimwear and coverups,0.625,8.0
4236146822472866298,white,boys,fila,tops,8.0,14.0
-3353807451485263204,orange,boys,ellesse,coats and jackets,2.0,14.0
3009935674221782899,pink,unisex,kuling,headwear,0.625,11.0
-3353033841225496803,blue,unisex,plus-plus,building blocks and constructi,4.0,10.0
2339157153568332899,yellow,unisex,skip hop,tableware,,
8482353344669691808,cream,unisex,biobuddi,building blocks and constructi,4.0,10.0
-4723149852691991481,gold,unisex,rice a/s,lighting,,
2696348709442151288,navy,unisex,oliver & kids,outdoor play,,
5921066401232055049,blue,unisex,gullkorn design,bottoms,0.125,3.0
7632037854063254159,navy,girls,ebbe kids,tops,1.0,12.0
-7600234959546257345,blue,unisex,babblarna,car seat accessories,2.0,6.0
-2316562893705525657,blue,girls,creamie,skirts,3.0,12.0
4477093970765714890,navy,boys,ralph lauren,tops,1.0,14.0
5617151614701542064,navy,unisex,joha,nightwear,1.0,10.0
3559520574920641358,grey,unisex,besafe,car seats,,
-2868503547499660765,blue,boys,petit bateau,textile,,
-5312087443785107239,grey,unisex,twistshake,tableware,,
9011187107831736703,white,unisex,elodie,strollers,,
4498332788628533261,pink,unisex,christmas kids,storage,,
3354762310948608964,green,unisex,le toy van,role play,2.0,6.0
-4284580115527942707,yellow,girls,molo,swimwear and coverups,5.0,14.0
4262355826350122987,grey,boys,nike,underwear,4.0,12.0
5892149630822514799,blue,unisex,ergobaby,carriers and slings,,
-5918319573802350641,multi color,unisex,britax,stroller accessories,,
5287402662151945407,pink,girls,wheat,all in ones,0.125,2.0
261821386759281843,grey,unisex,stoy,dolls and doll houses,2.0,6.0
4739414190672337866,white,unisex,marmar copenhagen,all in ones,0.125,0.625
-8514610062991783537,black,girls,tommy hilfiger,bottoms,3.0,14.0
1540886523914769320,black,unisex,thule,baby safety,,
-3370391663371048602,white,girls,mc2 saint barth,swimwear and coverups,0.875,6.0
2734702195458822706,pink,girls,raspberry plum,tops,2.0,12.0
-6321602112430208644,red,girls,moncler,coats and jackets,3.0,14.0
-3088517752207033020,pink,girls,joha,all in ones,0.125,2.0
-5487035444650771271,red,girls,mayoral,clothing sets,0.125,2.0
-7504020944766659995,pink,girls,petit bateau,underwear,2.0,4.0
-7691879826979789275,brown,girls,christina rohde,collars,,
-5417379558245994351,green,unisex,sorel,boots,6.0,8.0
-5296624107186551393,beige,girls,bonpoint,underwear,2.0,14.0
-2105395867188287703,white,unisex,baby dan,baby safety,,
-2591751256558378597,brown,unisex,form living,home accessories,,
-5237864749046530027,brown,girls,joha,underwear,2.0,12.0
-6031819193285185705,blue,boys,molo,tops,2.0,14.0
4663028018929131431,navy,boys,jacadi,sandals,3.0,11.0
8999527622156005808,grey,girls,bobo choses,dresses,1.0,11.0
5446092055151341966,navy,unisex,boss,headwear,0.625,3.0
4060680941979389650,white,girls,mm6 margiela,dresses,6.0,14.0
5926422841461296916,grey,boys,lacoste,tops,1.0,14.0
-4394951758996854623,blue,unisex,kuling,coveralls,0.625,4.0
9082384962412327882,pink,girls,converse,trainers,0.625,5.0
-4545579400839768409,beige,unisex,burberry,baby feeding,,
4997655523264299315,white,boys,moncler,coats and jackets,3.0,14.0
-6129062334665999724,blue,girls,bonpoint,bags,,
2260320209981241079,grey,boys,paul smith junior,jumpers and knitwear,0.375,3.0
8234644183535244171,blue,girls,msgm,dresses,5.0,14.0
-7154637130139160572,grey,unisex,cam cam,textile,,
-7024537693868601236,blue,girls,the marc jacobs,bottoms,3.0,14.0
-6162294488676724743,black,girls,puma,trainers,0.625,4.0
778051886468283770,pink,unisex,livly,soft toys,,
-985884022114513286,blue,boys,jacadi,tops,2.0,12.0
6807181116171872926,grey,unisex,kavat,trainers,1.0,10.0
-4947215371847641606,red,girls,agatha ruiz de la prada,tops,1.0,12.0
-6288907307712732037,red,boys,frugi,tops,0.125,5.0
-4005346502045594941,black,girls,msgm,bags,,
5950851235620015694,pink,girls,billieblush,coats and jackets,2.0,14.0
-4924429279635531335,pink,girls,frugi,tops,1.0,10.0
-4451082559096632007,blue,unisex,ralph lauren,bottoms,2.0,9.0
-2006422391351463872,cream,unisex,ralph lauren,all in ones,0.125,0.625
593787965876863201,black,unisex,besafe,car seats,,
3796410924428757868,black,boys,burberry,jumpers and knitwear,2.0,14.0
-7583811391101198109,blue,girls,stella mccartney kids,skirts,0.875,3.0
1656417047940736802,brown,unisex,melton,slippers,0.125,4.0
-3388856468064349249,grey,unisex,buddy & hope,stroller accessories,,
197307626554225470,brown,girls,mp,underwear,0.125,6.0
1118329531415078086,navy,boys,petit by sofie schnoor,bottoms,0.375,3.0
-2520712369777554052,blue,unisex,burberry,coats and jackets,0.875,2.0
-6634947811041918156,navy,unisex,tretorn,boots,0.625,10.0
-3159798268678683797,beige,unisex,garbo&friends,boots,0.125,0.375
-1044412803825121188,black,unisex,britax,car seats,,
2021865866905048415,blue,girls,monnalisa,tops,3.0,14.0
3345850316876976593,pink,unisex,viking,trainers,2.0,8.0
-5683746894211403924,grey,girls,levis kids,tops,9.0,14.0
4457167963872595981,red,unisex,rice a/s,storage,,
-5274650572463098103,purple,unisex,design letters,lighting,,
-1150464116302781170,grey,unisex,besafe,car seats,,
3493414341205088057,navy,unisex,mp,underwear,0.125,14.0
9192933675724116357,white,unisex,tommee tippee,baby changing,,
3157888641206332450,blue,boys,ikks,tops,,
-7555312514632629357,red,unisex,reima,coveralls,0.625,3.0
-1811018965407012653,white,boys,boss,tops,0.375,3.0
-1138498940904531040,beige,unisex,gullkorn design,tops,0.625,4.0
8526644461047599317,pink,girls,ralph lauren,dresses,0.125,2.0
4307581853988016509,black,boys,nike,tops,5.0,14.0
6546500066880849509,white,unisex,ses creative,water toys,0.625,4.0
-8051176044678617820,orange,unisex,stella mccartney kids,headwear,0.125,2.0
7736090776591121078,grey,unisex,babybjörn,bouncers and swings,,
747975934587857017,pink,girls,mayoral,dresses,0.125,2.0
-4299611682076327561,pink,unisex,everyday baby,baby feeding,,
7976080832069253592,orange,unisex,didriksons,coats and jackets,1.0,10.0
2006985458941554341,blue,girls,burberry,bottoms,3.0,14.0
-8673656617418312292,navy,unisex,gobabygo,underwear,,
-1713691957192924684,silver,unisex,maclaren,strollers,,
568590289245991371,cream,unisex,mini rodini,underwear,0.125,8.0
6705444194277084669,black,unisex,a happy brand,tops,1.0,10.0
5295143012841326854,pink,unisex,evi love,dolls and doll houses,2.0,10.0
3914831378409627738,white,unisex,moncler,tops,3.0,14.0
3904615204218924046,navy,boys,timberland,jumpers and knitwear,3.0,14.0
-3465946280598484196,green,unisex,studioloco,stationary,,
2846690865220527508,pink,girls,new era,headwear,,
-43658438222793773,blue,unisex,aquaplay,water toys,2.0,8.0
3779273403766546973,cream,girls,1+ in the family,tops,0.125,2.0
-8422204983665900857,white,girls,reebok,trainers,0.625,5.0
-7701465137053438548,cream,unisex,piupiuchick,jumpers and knitwear,1.0,14.0
-8614183782273569787,grey,unisex,kids concept,first toys and baby toys,,
1141725732513522659,black,boys,boss,tops,3.0,14.0
-4147404019010658296,black,unisex,fusalp,bottoms,7.0,14.0
20132129945342679,navy,girls,bonpoint,skirts,3.0,12.0
-916951824133964775,black,unisex,babybjörn,carriers and slings,,
8524695217383567955,blue,unisex,pippi långstrump,headwear,0.375,2.0
540083689137277809,black,girls,adidas,dresses,3.0,14.0
-1041549540801886544,green,unisex,stella mccartney kids,bags,,
-4996732939087126887,green,unisex,mini rodini,coats and jackets,0.875,9.0
-3178126682290503648,blue,boys,the marc jacobs,coats and jackets,3.0,14.0
8690762646224379061,black,unisex,a happy brand,headwear,0.125,11.0
2252832427789644369,red,boys,puma,jumpers and knitwear,4.0,14.0
320611571536062189,black,girls,sonia rykiel,dresses,0.125,0.875
8118536342643167520,blue,unisex,twistshake,baby feeding,,
1908232080121498814,beige,girls,les coyotes de paris,dresses,7.0,14.0
-5390955211705476162,brown,unisex,kuling,fleeces and midlayers,0.125,2.0
5191055050864724486,pink,girls,jacadi,clothing sets,0.125,0.875
3862084856167828681,white,girls,mimi & lula,hair accessories,,
7793653936772782665,black,boys,ikks,coats and jackets,0.125,3.0
-7182663904146238461,red,unisex,dantoy,first toys and baby toys,2.0,10.0
-55196942421900856,green,unisex,done by deer,baby changing,,
-3849094170478787383,navy,boys,reima,coveralls,0.625,3.0
-7462000956635576755,white,girls,bonpoint,jumpers and knitwear,1.0,3.0
847329801990771200,black,unisex,falke,underwear,3.0,14.0
8233681336753375060,pink,girls,billieblush,jumpers and knitwear,1.0,12.0
7747871468948966965,black,boys,molo,swimwear and coverups,4.0,14.0
-7608412399535184813,black,unisex,kenzo,bags,,
3394840239996708397,black,unisex,hype,bags,,
-1270138744589460344,orange,girls,agatha ruiz de la prada,dresses,1.0,12.0
-3541761266256086925,grey,unisex,done by deer,baby changing,,
-1193437745060000146,black,unisex,carena,changing and travel bags,,
-2116949690525781875,black,boys,paul smith junior,coats and jackets,2.0,14.0
-3512580239596260057,yellow,unisex,didriksons,fleeces and midlayers,1.0,10.0
-8547934830302640466,navy,boys,emporio armani,tops,3.0,14.0
-9129423340461668091,pink,girls,frugi,bottoms,0.125,5.0
-2789783448403919153,white,girls,mayoral,dresses,1.0,8.0
-3504008652595447545,white,unisex,nike,trainers,7.0,14.0
5294577020940085646,yellow,boys,the marc jacobs,jumpers and knitwear,1.0,14.0
4390303524872014748,white,girls,petit bateau,shorts,2.0,12.0
2373844722364528922,pink,girls,adidas,bottoms,4.0,14.0
-8831921064156471627,blue,boys,ralph lauren,coats and jackets,1.0,14.0
851876103601481741,red,girls,dulis,sandals,2.0,11.0
-948726027711005176,red,boys,levis kids,tops,0.375,2.0
8828631759445602330,purple,girls,billieblush,skirts,1.0,14.0
-7050432865822340019,navy,boys,mayoral,coats and jackets,1.0,9.0
-101079313315512424,unknown,unisex,nic,first toys and baby toys,,
-3116114177088208805,brown,unisex,pippi långstrump,toy figures & playsets,2.0,10.0
-7916969271752737148,pink,girls,petit bateau,underwear,1.0,12.0
2187924691957137724,grey,unisex,småfolk,tops,0.875,8.0
-8007899606828902795,gold,unisex,elodie,tableware,,
-6980682099824597616,blue,girls,molo,tops,2.0,14.0
-1857802228603282811,pink,girls,joha,bottoms,0.125,7.0
-5069033339824266920,red,girls,fendi,underwear,2.0,12.0
-3157048732299627570,pink,girls,mimi & lula,hair accessories,,
2633457215441991705,blue,boys,jacadi,nightwear,1.0,14.0
-6239851217988478278,red,girls,cyrillus,bottoms,0.375,3.0
3244536823403218038,blue,girls,ebbe kids,tops,1.0,12.0
-2875879179166889687,green,boys,levis kids,tops,0.375,3.0
-6956578817071746951,white,girls,golden goose,trainers,1.0,14.0
-6741305609431480896,red,girls,mini rodini,swimwear and coverups,0.875,9.0
8742168532808980111,blue,girls,bonpoint,swimwear and coverups,3.0,14.0
-395500994050390412,pink,girls,ralph lauren,dresses,0.125,2.0
3056595252942041551,navy,girls,billieblush,tops,1.0,14.0
-7651708901212193717,navy,unisex,ebbe kids,dresses,0.125,6.0
1346910162929693471,white,boys,stella mccartney kids,tops,1.0,14.0
164251859074663568,blue,girls,creamie,dresses,3.0,12.0
5915281049571270297,blue,girls,wheat,shorts,2.0,10.0
